iter	Passed	Remaining
0	1	127
1	2	118
2	3	113
3	4	105
4	5	105
5	6	104
6	7	103
7	8	101
8	9	100
9	11	99
10	12	97
11	13	96
12	14	95
13	15	94
14	16	93
15	17	91
16	18	90
17	19	89
18	20	88
19	22	91
20	25	94
21	27	95
22	28	95
23	29	93
24	30	92
25	31	90
26	32	89
27	34	87
28	35	85
29	36	84
30	37	83
31	38	81
32	39	80
33	40	79
34	41	77
35	42	76
36	43	74
37	45	73
38	46	72
39	47	70
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	55	60
48	56	59
49	57	57
50	58	56
51	59	55
52	60	54
53	62	52
54	62	51
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	70	45
61	72	44
62	73	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	98	15
86	99	14
87	100	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	111	1
99	112	0
